external_id,vehicle_name,vehicle_index,item_type,quantity,rate,unit_type,billing_category
29248,CC9004,0,"Trailer Rate, Daily",21,110,Per Day,Contracted
29248,CC9010,1,"Trailer Rate, Daily",21,110,Per Day,Contracted
29248,Matador,2,"Coach Rate, Daily",21,850,Per Day,Contracted
29248,Matador,2,"Driver Rate, Daily",21,450,Per Day,Contracted
29248,Matador,2,"Satellite Service, Daily",21,35,Per Day,Contracted
29248,Matador,2,"Internet Service, Daily",21,50,Per Day,Contracted
29248,Matador,2,"Insurance, Daily",21,50,Per Day,Contracted
29248,Matador,2,"IFTA/DOT Fee, Daily",21,50,Per Day,Contracted
29248,Matador,2,Fuel Estimate,7420,1.4,Per Mile,Contracted
29248,Matador,2,Engine Services,7420,0.6,Per Mile,Contracted
29248,Matador,2,Weekly Generator Services,3,195,Per Week,Contracted
29248,Matador,2,Interior Cleanings,3,95,Per Week,Contracted
29248,Matador,2,Weekly Coach Wash,3,140,Per Week,Contracted
29248,Matador,2,Linen Cleanings,3,75,Per Week,Contracted
29248,Matador,2,End of Tour Cleaning,1,600,Flat Rate,Contracted
29248,Matador,2,Upholstery Cleaning,1,0,Flat Rate,Contracted
29248,Matador,2,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29248,Matador,2,Tolls,1,47,Flat Rate,Contracted
29248,Matador,2,Driver Overdrives,8,450,Per Quantity,Contracted
29248,Matador,2,Driver Per Diem,21,50,Per Day,Contracted
29248,Matador,2,Admin Fee,1,0,Flat Rate,Contracted
29248,Matador,2,Miscellaneous,1,0,Flat Rate,Contracted
29248,Matador,2,"Co-Driver Rate, Daily",2,450,Per Day,Contracted
29248,Matador,2,Co-Driver Per Diems,2,50,Per Day,Contracted
29248,Temptation,3,"Coach Rate, Daily",21,850,Per Day,Contracted
29248,Temptation,3,"Driver Rate, Daily",21,450,Per Day,Contracted
29248,Temptation,3,"Satellite Service, Daily",21,35,Per Day,Contracted
29248,Temptation,3,"Internet Service, Daily",21,50,Per Day,Contracted
29248,Temptation,3,"Insurance, Daily",21,50,Per Day,Contracted
29248,Temptation,3,"IFTA/DOT Fee, Daily",21,50,Per Day,Contracted
29248,Temptation,3,Fuel Estimate,7420,1.4,Per Mile,Contracted
29248,Temptation,3,Engine Services,7420,0.6,Per Mile,Contracted
29248,Temptation,3,Weekly Generator Services,3,195,Per Week,Contracted
29248,Temptation,3,Interior Cleanings,3,95,Per Week,Contracted
29248,Temptation,3,Weekly Coach Wash,3,140,Per Week,Contracted
29248,Temptation,3,Linen Cleanings,3,75,Per Week,Contracted
29248,Temptation,3,End of Tour Cleaning,1,600,Flat Rate,Contracted
29248,Temptation,3,Upholstery Cleaning,1,0,Flat Rate,Contracted
29248,Temptation,3,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29248,Temptation,3,Tolls,1,47,Flat Rate,Contracted
29248,Temptation,3,Driver Overdrives,8,450,Per Quantity,Contracted
29248,Temptation,3,Driver Per Diem,21,50,Per Day,Contracted
29248,Temptation,3,Admin Fee,1,0,Flat Rate,Contracted
29248,Temptation,3,Miscellaneous,1,0,Flat Rate,Contracted
29318,Jester,0,"Coach Rate, Monthly",7,21000,Per Month,Contracted
29318,Jester,0,"Driver Rate, Daily",0,0,Per Day,Contracted
29318,Jester,0,"Satellite Service, Monthly",7,350,Per Month,Contracted
29318,Jester,0,"Internet Service, Monthly",7,500,Per Month,Contracted
29318,Jester,0,"Insurance, Monthly",7,850,Per Month,Contracted
29318,Jester,0,"IFTA/DOT Fee, Monthly",7,500,Per Month,Contracted
29318,Jester,0,Fuel Estimate,0,0,Per Mile,Contracted
29318,Jester,0,Engine Services,0,0.6,Per Mile,Contracted
29318,Jester,0,Admin Fee,1,0,Flat Rate,Contracted
29318,Jester,0,Miscellaneous,1,0,Flat Rate,Contracted
29327,Imposter,0,"Coach Rate, Monthly",9,25000,Per Month,Contracted
29327,Imposter,0,"Driver Rate, Daily",0,0,Per Day,Contracted
29327,Imposter,0,"Satellite Service, Monthly",9,0,Per Month,Contracted
29327,Imposter,0,"Internet Service, Monthly",9,1000,Per Month,Contracted
29327,Imposter,0,"Insurance, Monthly",9,850,Per Month,Contracted
29327,Imposter,0,"IFTA/DOT Fee, Monthly",9,500,Per Month,Contracted
29327,Imposter,0,Fuel Estimate,0,0,Per Mile,Contracted
29327,Imposter,0,Engine Services,0,0.65,Per Mile,Contracted
29327,Imposter,0,Admin Fee,1,0,Flat Rate,Contracted
29327,Imposter,0,Miscellaneous,1,0,Flat Rate,Contracted
29342,CC9004,0,"Trailer Rate, Daily",31,100,Per Day,Contracted
29342,Imposter,1,"Coach Rate, Daily",31,800,Per Day,Contracted
29342,Imposter,1,"Driver Rate, Daily",31,475,Per Day,Contracted
29342,Imposter,1,"Satellite Service, Daily",31,35,Per Day,Contracted
29342,Imposter,1,"Internet Service, Daily",31,50,Per Day,Contracted
29342,Imposter,1,"Insurance, Daily",31,50,Per Day,Contracted
29342,Imposter,1,"IFTA/DOT Fee, Daily",31,50,Per Day,Contracted
29342,Imposter,1,Fuel Estimate,9220,1.5,Per Mile,Contracted
29342,Imposter,1,Engine Services,9220,0.5,Per Mile,Contracted
29342,Imposter,1,Weekly Generator Services,3,195,Per Week,Contracted
29342,Imposter,1,Interior Cleanings,3,95,Per Week,Contracted
29342,Imposter,1,Weekly Coach Wash,3,100,Per Week,Contracted
29342,Imposter,1,Linen Cleanings,3,75,Per Week,Contracted
29342,Imposter,1,End of Tour Cleaning,1,600,Flat Rate,Contracted
29342,Imposter,1,Upholstery Cleaning,1,0,Flat Rate,Contracted
29342,Imposter,1,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29342,Imposter,1,Tolls,1,860,Flat Rate,Contracted
29342,Imposter,1,Driver Overdrives,4,475,Per Quantity,Contracted
29342,Imposter,1,Driver Hotel Buy Outs,6,150,Per Quantity,Contracted
29342,Imposter,1,Driver Per Diem,31,50,Per Day,Contracted
29342,Imposter,1,Admin Fee,1,0,Flat Rate,Contracted
29342,Imposter,1,Miscellaneous,1,0,Flat Rate,Contracted
29348,Attitude,0,"Coach Rate, Daily",19,700,Per Day,Contracted
29348,Attitude,0,"Driver Rate, Daily",19,450,Per Day,Contracted
29348,Attitude,0,"Satellite Service, Daily",19,35,Per Day,Contracted
29348,Attitude,0,"Internet Service, Daily",19,50,Per Day,Contracted
29348,Attitude,0,"Insurance, Daily",19,50,Per Day,Contracted
29348,Attitude,0,"IFTA/DOT Fee, Daily",19,50,Per Day,Contracted
29348,Attitude,0,Fuel Estimate,6220,1.3,Per Mile,Contracted
29348,Attitude,0,Engine Services,6220,0.5,Per Mile,Contracted
29348,Attitude,0,Weekly Generator Services,2,195,Per Week,Contracted
29348,Attitude,0,Interior Cleanings,2,95,Per Week,Contracted
29348,Attitude,0,Weekly Coach Wash,2,140,Per Week,Contracted
29348,Attitude,0,Linen Cleanings,2,75,Per Week,Contracted
29348,Attitude,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
29348,Attitude,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
29348,Attitude,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29348,Attitude,0,Tolls,1,95,Flat Rate,Contracted
29348,Attitude,0,Driver Overdrives,5,450,Per Quantity,Contracted
29348,Attitude,0,Driver Per Diem,19,50,Per Day,Contracted
29348,Attitude,0,Admin Fee,1,0,Flat Rate,Contracted
29348,Attitude,0,Miscellaneous,1,0,Flat Rate,Contracted
29348,Attitude,0,"Co-Driver Rate, Daily",4,450,Per Day,Contracted
29348,Attitude,0,Co-Driver Per Diems,4,50,Per Day,Contracted
29348,CC9012,1,"Trailer Rate, Daily",19,90,Per Day,Contracted
29348,CC9017,2,"Trailer Rate, Daily",19,90,Per Day,Contracted
29348,Temptation,3,"Coach Rate, Daily",19,750,Per Day,Contracted
29348,Temptation,3,"Driver Rate, Daily",19,450,Per Day,Contracted
29348,Temptation,3,"Satellite Service, Daily",19,35,Per Day,Contracted
29348,Temptation,3,"Internet Service, Daily",19,50,Per Day,Contracted
29348,Temptation,3,"Insurance, Daily",19,50,Per Day,Contracted
29348,Temptation,3,"IFTA/DOT Fee, Daily",19,50,Per Day,Contracted
29348,Temptation,3,Fuel Estimate,6220,1.3,Per Mile,Contracted
29348,Temptation,3,Engine Services,6220,0.5,Per Mile,Contracted
29348,Temptation,3,Weekly Generator Services,2,195,Per Week,Contracted
29348,Temptation,3,Interior Cleanings,2,95,Per Week,Contracted
29348,Temptation,3,Weekly Coach Wash,2,140,Per Week,Contracted
29348,Temptation,3,Linen Cleanings,2,75,Per Week,Contracted
29348,Temptation,3,End of Tour Cleaning,1,600,Flat Rate,Contracted
29348,Temptation,3,Upholstery Cleaning,1,0,Flat Rate,Contracted
29348,Temptation,3,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29348,Temptation,3,Tolls,1,95,Flat Rate,Contracted
29348,Temptation,3,Driver Overdrives,5,450,Per Quantity,Contracted
29348,Temptation,3,Driver Per Diem,19,50,Per Day,Contracted
29348,Temptation,3,Admin Fee,1,0,Flat Rate,Contracted
29348,Temptation,3,Miscellaneous,1,0,Flat Rate,Contracted
29348,Temptation,3,"Co-Driver Rate, Daily",4,450,Per Day,Contracted
29348,Temptation,3,Co-Driver Per Diems,4,50,Per Day,Contracted
29348,Vortex,4,"Coach Rate, Daily",19,700,Per Day,Contracted
29348,Vortex,4,"Driver Rate, Daily",19,400,Per Day,Contracted
29348,Vortex,4,"Satellite Service, Daily",19,35,Per Day,Contracted
29348,Vortex,4,"Internet Service, Daily",19,50,Per Day,Contracted
29348,Vortex,4,"Insurance, Daily",19,50,Per Day,Contracted
29348,Vortex,4,"IFTA/DOT Fee, Daily",19,50,Per Day,Contracted
29348,Vortex,4,Fuel Estimate,6220,1.3,Per Mile,Contracted
29348,Vortex,4,Engine Services,6220,0.5,Per Mile,Contracted
