external_id,seq_number,artist_name,quote_name,quote_number,status,type,quoted_lease_start_date,quoted_lease_end_date,tour_start_date,tour_end_date,quoted_lease_days,tour_days,billed_bus_days,main_driver_days,billed_driver_days,total_estimated_miles,driver_deadhead_front_days,driver_deadhead_rear_days,bus_deadhead_front_days,bus_deadhead_rear_days,co_driver_days,discount_days,main_driver_overdrives,quoted_lease_months,tour_months,notes,_startracker_status,_is_contract,_startracker_total
29248,29248,Cory Wong,"April 14 - May 4, 2026",Q-CORY-WONG-29248,Declined,Short Term,2026  12:00:00 AM-04-14,2026  12:00:00 AM-05-04,2026  12:00:00 AM-04-14,2026  12:00:00 AM-05-04,21,21,21,0,0,7420,0,0,0,0,2,0,0,,,,Quote - Closed,false,119702.4
29318,29318,Kip Moore,"April 1 - Oct 31, 2026",Q-KIP-MOORE-29318,Declined,Long Term,2026  12:00:00 AM-04-01,2026  12:00:00 AM-10-31,2026  12:00:00 AM-04-01,2026  12:00:00 AM-10-31,214,214,0,0,0,0,0,0,0,0,0,0,0,7,7,,Quote - Closed,false,162400
29327,29327,Jordan Davis,"April 1 - December 31, 2026",Q-JORDAN-DAVIS-29327,Approved,Long Term,2026  12:00:00 AM-04-01,2026  12:00:00 AM-12-31,2026  12:00:00 AM-04-01,2026  12:00:00 AM-12-31,275,275,0,0,0,0,0,0,0,0,0,0,0,9,9,Keith Heyward on annual salary,Contract - Verbal,true,246150
29342,29342,Oh Wonder,"April 11 - May 3, 2026",Q-OH-WONDER-29342,Declined,Short Term,2026  12:00:00 AM-04-11,2026  12:00:00 AM-05-03,2026  12:00:00 AM-04-11,2026  12:00:00 AM-05-03,23,23,31,0,0,9220,2,6,2,6,0,0,0,,,,Quote - Closed,false,79302.6
29348,29348,Mt. Joy,"April 8 - 26, 2026",Q-MT-JOY-29348,Declined,Short Term,2026  12:00:00 AM-04-08,2026  12:00:00 AM-04-26,2026  12:00:00 AM-04-08,2026  12:00:00 AM-04-26,19,19,19,19,19,6220,0,0,0,0,4,0,5,,,,Quote - Closed,false,144306
29353,29353,MacKenzie Carpenter,"April 15 - 18, 2025",Q-MACKENZIE-CARPENTER-29353,Draft,Short Term,2026  12:00:00 AM-04-15,2026  12:00:00 AM-04-18,2026  12:00:00 AM-04-15,2026  12:00:00 AM-04-18,4,4,4,4,4,825,0,0,0,0,0,0,0,,,,Quote - Active,false,8078.6
29357,29357,Kenny Wayne Shepherd,"April 9 - May 10, 2026",Q-KENNY-WAYNE-SHEPHERD-29357,Approved,Short Term,2026  12:00:00 AM-04-09,2026  12:00:00 AM-05-10,2026  12:00:00 AM-04-09,2026  12:00:00 AM-05-10,32,32,32,32,32,6620,0,0,0,0,0,0,2,,,,Contract - Signed,true,110701.20000000001
29366,29366,Chayce Beckham,"April 1 - November 30, 2026",Q-CHAYCE-BECKHAM-29366,Approved,Long Term,2026  12:00:00 AM-04-01,2026  12:00:00 AM-11-30,2026  12:00:00 AM-04-01,2026  12:00:00 AM-11-30,244,244,0,0,0,0,0,0,0,0,0,0,0,8,8,$0.50/mile,Contract - Verbal,true,128000
29386,29386,Bruce Hornsby,"April 8 - 25, 2026",Q-BRUCE-HORNSBY-29386,Declined,Short Term,2026  12:00:00 AM-04-08,2026  12:00:00 AM-04-25,2026  12:00:00 AM-04-08,2026  12:00:00 AM-04-25,18,18,20,0,0,3415,0,2,0,2,0,0,0,,,,Quote - Closed,false,44241.55
29388,29388,John Wallace,"April 29 - May 25, 2026",Q-JOHN-WALLACE-29388,Declined,Short Term,2026  12:00:00 AM-04-29,2026  12:00:00 AM-05-25,2026  12:00:00 AM-04-29,2026  12:00:00 AM-05-25,27,27,33,0,0,7150,3,3,3,3,0,0,0,,,,Quote - Closed,false,76602.7
