name,legal_name,address,city,state,zip
Mt. Joy,Mt. Joy,,,,
Stone Temple Pilots,Stone Temple Pilots,"c/o Glass Jacobson Malek LLP, 2850 Ocean Park Blvd., Ste 300",Santa Monica,CA,90405
LCD Soundsystem,LCD Soundsystem,"232 Madison Ave, Mezzanine",New York,NY,10016
Daniel Donato,Daniel Donato,,,,
Hulvey,Hulvey,,,,
Starbomb,Starbomb,,,,
Kesha,Kesha,,,,
Ben Harper,Ben Harper,1880 Century Park E  #1600,Los Angeles,CA,90067
Melissa Etheridge,Melissa Etheridge,"15821 Ventura Blvd, Ste 370",Encino,CA,91436
The Hu,The Hu,,,,
Ziggy Marley,Ziggy Marley,10153 1/2 Riverside Drive #422,Toluca Lake,CA,91602
