external_id,vehicle_name,vehicle_index,item_type,quantity,rate,unit_type,billing_category
29350,Attitude,0,"Coach Rate, Daily",24,750,Per Day,Contracted
29350,Attitude,0,"Driver Rate, Daily",24,450,Per Day,Contracted
29350,Attitude,0,"Satellite Service, Daily",24,35,Per Day,Contracted
29350,Attitude,0,"Internet Service, Daily",24,50,Per Day,Contracted
29350,Attitude,0,"Insurance, Daily",24,50,Per Day,Contracted
29350,Attitude,0,"IFTA/DOT Fee, Daily",24,50,Per Day,Contracted
29350,Attitude,0,Fuel Estimate,7530,1.3,Per Mile,Contracted
29350,Attitude,0,Engine Services,7530,0.5,Per Mile,Contracted
29350,Attitude,0,Weekly Generator Services,2,195,Per Week,Contracted
29350,Attitude,0,Interior Cleanings,2,95,Per Week,Contracted
29350,Attitude,0,Weekly Coach Wash,2,140,Per Week,Contracted
29350,Attitude,0,Linen Cleanings,2,75,Per Week,Contracted
29350,Attitude,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
29350,Attitude,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
29350,Attitude,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29350,Attitude,0,Tolls,1,15,Flat Rate,Contracted
29350,Attitude,0,Driver Overdrives,4,450,Per Quantity,Contracted
29350,Attitude,0,Driver Hotel Buy Outs,4,150,Per Quantity,Contracted
29350,Attitude,0,Driver Per Diem,24,50,Per Day,Contracted
29350,Attitude,0,Admin Fee,1,0,Flat Rate,Contracted
29350,Attitude,0,Miscellaneous,1,0,Flat Rate,Contracted
29350,Attitude,0,"Co-Driver Rate, Daily",2,450,Per Day,Contracted
29350,Attitude,0,Co-Driver Per Diems,2,50,Per Day,Contracted
29350,CC9033,1,"Trailer Rate, Daily",24,100,Per Day,Contracted
29350,CC9038,2,"Trailer Rate, Daily",24,100,Per Day,Contracted
29350,Liberty,3,"Coach Rate, Daily",24,800,Per Day,Contracted
29350,Liberty,3,"Driver Rate, Daily",24,400,Per Day,Contracted
29350,Liberty,3,"Satellite Service, Daily",24,35,Per Day,Contracted
29350,Liberty,3,"Internet Service, Daily",24,50,Per Day,Contracted
29350,Liberty,3,"Insurance, Daily",24,50,Per Day,Contracted
29350,Liberty,3,"IFTA/DOT Fee, Daily",24,50,Per Day,Contracted
29350,Liberty,3,Fuel Estimate,7530,1.3,Per Mile,Contracted
29350,Liberty,3,Engine Services,7530,0.5,Per Mile,Contracted
29350,Liberty,3,Weekly Generator Services,2,195,Per Week,Contracted
29350,Liberty,3,Interior Cleanings,2,95,Per Week,Contracted
29350,Liberty,3,Weekly Coach Wash,2,100,Per Week,Contracted
29350,Liberty,3,Linen Cleanings,2,75,Per Week,Contracted
29350,Liberty,3,End of Tour Cleaning,1,600,Flat Rate,Contracted
29350,Liberty,3,Upholstery Cleaning,1,0,Flat Rate,Contracted
29350,Liberty,3,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29350,Liberty,3,Tolls,1,15,Flat Rate,Contracted
29350,Liberty,3,Driver Overdrives,4,400,Per Quantity,Contracted
29350,Liberty,3,Driver Hotel Buy Outs,4,150,Per Quantity,Contracted
29350,Liberty,3,Driver Per Diem,24,50,Per Day,Contracted
29350,Liberty,3,Admin Fee,1,0,Flat Rate,Contracted
29350,Liberty,3,Miscellaneous,1,0,Flat Rate,Contracted
29350,Liberty,3,"Co-Driver Rate, Daily",2,400,Per Day,Contracted
29350,Liberty,3,Co-Driver Per Diems,2,50,Per Day,Contracted
29350,Temptation,4,"Coach Rate, Daily",24,750,Per Day,Contracted
29350,Temptation,4,"Driver Rate, Daily",24,450,Per Day,Contracted
29350,Temptation,4,"Satellite Service, Daily",24,35,Per Day,Contracted
29350,Temptation,4,"Internet Service, Daily",24,50,Per Day,Contracted
29350,Temptation,4,"Insurance, Daily",24,50,Per Day,Contracted
29350,Temptation,4,"IFTA/DOT Fee, Daily",24,50,Per Day,Contracted
29350,Temptation,4,Fuel Estimate,7530,1.3,Per Mile,Contracted
29350,Temptation,4,Engine Services,7530,0.5,Per Mile,Contracted
29350,Temptation,4,Weekly Generator Services,2,195,Per Week,Contracted
29350,Temptation,4,Interior Cleanings,2,95,Per Week,Contracted
29350,Temptation,4,Weekly Coach Wash,2,140,Per Week,Contracted
29350,Temptation,4,Linen Cleanings,2,75,Per Week,Contracted
29350,Temptation,4,End of Tour Cleaning,1,600,Flat Rate,Contracted
29350,Temptation,4,Upholstery Cleaning,1,0,Flat Rate,Contracted
29350,Temptation,4,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29350,Temptation,4,Tolls,1,15,Flat Rate,Contracted
29350,Temptation,4,Driver Overdrives,4,450,Per Quantity,Contracted
29350,Temptation,4,Driver Hotel Buy Outs,4,150,Per Quantity,Contracted
29350,Temptation,4,Driver Per Diem,24,50,Per Day,Contracted
29350,Temptation,4,Admin Fee,1,0,Flat Rate,Contracted
29350,Temptation,4,Miscellaneous,1,0,Flat Rate,Contracted
29350,Temptation,4,"Co-Driver Rate, Daily",2,450,Per Day,Contracted
29350,Temptation,4,Co-Driver Per Diems,2,50,Per Day,Contracted
29351,Attitude,0,"Coach Rate, Daily",25,750,Per Day,Contracted
29351,Attitude,0,"Driver Rate, Daily",25,450,Per Day,Contracted
29351,Attitude,0,"Satellite Service, Daily",25,35,Per Day,Contracted
29351,Attitude,0,"Internet Service, Daily",25,50,Per Day,Contracted
29351,Attitude,0,"Insurance, Daily",25,50,Per Day,Contracted
29351,Attitude,0,"IFTA/DOT Fee, Daily",25,50,Per Day,Contracted
29351,Attitude,0,Fuel Estimate,5730,1.3,Per Mile,Contracted
29351,Attitude,0,Engine Services,5730,0.5,Per Mile,Contracted
29351,Attitude,0,Weekly Generator Services,3,195,Per Week,Contracted
29351,Attitude,0,Interior Cleanings,3,95,Per Week,Contracted
29351,Attitude,0,Weekly Coach Wash,3,140,Per Week,Contracted
29351,Attitude,0,Linen Cleanings,3,75,Per Week,Contracted
29351,Attitude,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
29351,Attitude,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
29351,Attitude,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29351,Attitude,0,Tolls,1,1415,Flat Rate,Contracted
29351,Attitude,0,Driver Overdrives,4,450,Per Quantity,Contracted
29351,Attitude,0,Driver Per Diem,25,50,Per Day,Contracted
29351,Attitude,0,Admin Fee,1,0,Flat Rate,Contracted
29351,Attitude,0,Miscellaneous,1,0,Flat Rate,Contracted
29351,Attitude,0,"Co-Driver Rate, Daily",2,450,Per Day,Contracted
29351,Attitude,0,Co-Driver Per Diems,2,50,Per Day,Contracted
29351,CC9012,1,"Trailer Rate, Daily",25,100,Per Day,Contracted
29351,CC9033,2,"Trailer Rate, Daily",25,100,Per Day,Contracted
29351,Liberty,3,"Coach Rate, Daily",25,800,Per Day,Contracted
29351,Liberty,3,"Driver Rate, Daily",25,400,Per Day,Contracted
29351,Liberty,3,"Satellite Service, Daily",25,35,Per Day,Contracted
29351,Liberty,3,"Internet Service, Daily",25,50,Per Day,Contracted
29351,Liberty,3,"Insurance, Daily",25,50,Per Day,Contracted
29351,Liberty,3,"IFTA/DOT Fee, Daily",25,50,Per Day,Contracted
29351,Liberty,3,Fuel Estimate,5730,1.3,Per Mile,Contracted
29351,Liberty,3,Engine Services,5730,0.5,Per Mile,Contracted
29351,Liberty,3,Weekly Generator Services,3,195,Per Week,Contracted
29351,Liberty,3,Interior Cleanings,3,95,Per Week,Contracted
29351,Liberty,3,Weekly Coach Wash,3,100,Per Week,Contracted
