external_id,seq_number,artist_name,quote_name,quote_number,status,type,quoted_lease_start_date,quoted_lease_end_date,tour_start_date,tour_end_date,quoted_lease_days,tour_days,billed_bus_days,main_driver_days,billed_driver_days,total_estimated_miles,driver_deadhead_front_days,driver_deadhead_rear_days,bus_deadhead_front_days,bus_deadhead_rear_days,co_driver_days,discount_days,main_driver_overdrives,quoted_lease_months,tour_months,notes,_startracker_status,_is_contract,_startracker_total
29350,29350,Mt. Joy,"August 11 - 31, 2026",Q-MT-JOY-29350,Declined,Short Term,2026  12:00:00 AM-08-11,2026  12:00:00 AM-08-29,2026  12:00:00 AM-08-11,2026  12:00:00 AM-08-29,19,19,24,24,24,7530,0,5,0,5,2,0,4,,,,Quote - Closed,false,175727
29351,29351,Mt. Joy,"September 10 - October 4, 2026",Q-MT-JOY-29351,Declined,Short Term,2026  12:00:00 AM-09-10,2026  12:00:00 AM-10-04,2026  12:00:00 AM-09-10,2026  12:00:00 AM-10-04,25,25,25,25,25,5730,0,0,0,0,2,0,4,,,,Quote - Closed,false,174660
30387,30387,Stone Temple Pilots,"Sept 6 - 26, 2026",Q-STONE-TEMPLE-PILOTS-30387,Draft,Short Term,2026  12:00:00 AM-09-06,2026  12:00:00 AM-09-26,2026  12:00:00 AM-09-06,2026  12:00:00 AM-09-26,21,21,29,29,29,7980,3,5,3,5,0,0,2,,,,Quote - Active,false,130577.20000000001
30390,30390,LCD Soundsystem,"August 7 - 22, 2026",Q-LCD-SOUNDSYSTEM-30390,Declined,Short Term,2026  12:00:00 AM-08-07,2026  12:00:00 AM-08-22,2026  12:00:00 AM-08-07,2026  12:00:00 AM-08-22,16,16,24,24,24,7950,6,2,6,2,10,0,2,,,,Quote - Closed,false,189148.2
30438,30438,Daniel Donato,"August 27 - 30, 2026",Q-DANIEL-DONATO-30438,Declined,Short Term,2026  12:00:00 AM-08-28,2026  12:00:00 AM-08-30,2026  12:00:00 AM-08-28,2026  12:00:00 AM-08-30,3,3,3,3,3,60,0,0,0,0,0,0,0,,,,Quote - Closed,false,5154.6
30439,30439,Daniel Donato,"Sept 11 - Nov 8, 2026",Q-DANIEL-DONATO-30439,Declined,Short Term,2026  12:00:00 AM-09-11,2026  12:00:00 AM-11-08,2026  12:00:00 AM-09-11,2026  12:00:00 AM-11-08,59,59,59,59,59,11580,0,0,0,0,0,0,4,,,,Quote - Closed,false,98991.2
30444,30444,Hulvey,"August 11 - September 28, 2026",Q-HULVEY-30444,Draft,Short Term,2026  12:00:00 AM-08-11,2026  12:00:00 AM-09-28,2026  12:00:00 AM-08-11,2026  12:00:00 AM-09-28,49,49,49,0,0,13120,0,0,0,0,8,0,0,,,,Quote - Active,false,130940.8
30447,30447,Starbomb,"Sept 13 - Oct 11, 2026",Q-STARBOMB-30447,Draft,Short Term,2026  12:00:00 AM-09-13,2026  12:00:00 AM-10-11,2026  12:00:00 AM-09-13,2026  12:00:00 AM-10-11,29,29,36,0,0,11315,5,2,5,2,0,0,0,,,,Quote - Active,false,82027.6
30463,30463,Kesha,"August 1 - August 21, 2026 Star",Q-KESHA-30463,Draft,Short Term,2026  12:00:00 AM-08-01,2026  12:00:00 AM-08-21,2026  12:00:00 AM-08-01,2026  12:00:00 AM-08-21,21,21,25,25,25,5150,2,2,2,2,0,0,1,,,,Quote - Active,false,58497.1
30464,30464,Kesha,"August 1 - August 21, 2026 Crew",Q-KESHA-30464,Draft,Short Term,2026  12:00:00 AM-08-01,2026  12:00:00 AM-08-21,2026  12:00:00 AM-08-01,2026  12:00:00 AM-08-21,21,21,25,25,25,5150,2,2,2,2,0,0,1,,,,Quote - Active,false,212332.4
30467,30467,Ben Harper,"Sept 13 - Oct 1, 2026",Q-BEN-HARPER-30467,Draft,Short Term,2026  12:00:00 AM-09-13,2026  12:00:00 AM-10-01,2026  12:00:00 AM-09-13,2026  12:00:00 AM-10-01,19,19,20,20,20,2815,0,1,0,1,0,0,0,,,,Quote - Active,false,76104.8
30471,30471,Melissa Etheridge,"September 3 - October 24, 2026",Q-MELISSA-ETHERIDGE-30471,Approved,Short Term,2026  12:00:00 AM-09-03,2026  12:00:00 AM-10-26,2026  12:00:00 AM-09-03,2026  12:00:00 AM-10-26,54,54,58,58,58,8500,2,2,2,2,0,0,0,,,,Contract - Verbal,true,237236.8
30473,30473,The Hu,"August 20 - Sept 20, 2026",Q-THE-HU-30473,Draft,Short Term,2026  12:00:00 AM-08-20,2026  12:00:00 AM-09-20,2026  12:00:00 AM-08-20,2026  12:00:00 AM-09-20,32,32,39,0,0,10380,2,5,2,5,0,0,0,,,,Quote - Active,false,181120.40000000002
30490,30490,Ziggy Marley,"Sept 17 - Oct 21, 2026",Q-ZIGGY-MARLEY-30490,Draft,Short Term,2026  12:00:00 AM-09-17,2026  12:00:00 AM-10-21,2026  12:00:00 AM-09-17,2026  12:00:00 AM-10-21,35,35,38,38,38,9450,1,2,1,2,0,0,0,,,,Quote - Active,false,197328
