external_id,vehicle_name,vehicle_index,item_type,quantity,rate,unit_type,billing_category
"30,491",Havana,0,"Coach Rate, Daily",3,800,Per Day,Contracted
"30,491",Havana,0,"Driver Rate, Daily",0,0,Per Day,Contracted
"30,491",Havana,0,"Satellite Service, Daily",3,35,Per Day,Contracted
"30,491",Havana,0,"Internet Service, Daily",3,50,Per Day,Contracted
"30,491",Havana,0,"Insurance, Daily",3,50,Per Day,Contracted
"30,491",Havana,0,"IFTA/DOT Fee, Daily",3,50,Per Day,Contracted
"30,491",Havana,0,Fuel Estimate,0,1.55,Per Mile,Contracted
"30,491",Havana,0,Engine Services,0,0.75,Per Mile,Contracted
"30,491",Havana,0,Weekly Generator Services,1,195,Per Week,Contracted
"30,491",Havana,0,Interior Cleanings,0,95,Per Week,Contracted
"30,491",Havana,0,Weekly Coach Wash,0,100,Per Week,Contracted
"30,491",Havana,0,Linen Cleanings,0,75,Per Week,Contracted
"30,491",Havana,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
"30,491",Havana,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
"30,491",Havana,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
"30,491",Havana,0,Tolls,1,0,Flat Rate,Contracted
"30,491",Havana,0,Admin Fee,1,0,Flat Rate,Contracted
"30,491",Havana,0,Miscellaneous,1,0,Flat Rate,Contracted
"30,431",Conspiracy,0,"Coach Rate, Daily",2,700,Per Day,Contracted
"30,431",Conspiracy,0,"Driver Rate, Daily",2,450,Per Day,Contracted
"30,431",Conspiracy,0,"Satellite Service, Daily",2,35,Per Day,Contracted
"30,431",Conspiracy,0,"Internet Service, Daily",2,50,Per Day,Contracted
"30,431",Conspiracy,0,"Insurance, Daily",2,50,Per Day,Contracted
"30,431",Conspiracy,0,"IFTA/DOT Fee, Daily",2,50,Per Day,Contracted
"30,431",Conspiracy,0,Fuel Estimate,785,1.5,Per Mile,Contracted
"30,431",Conspiracy,0,Engine Services,785,0.5,Per Mile,Contracted
"30,431",Conspiracy,0,Weekly Generator Services,1,195,Per Week,Contracted
"30,431",Conspiracy,0,Interior Cleanings,0,95,Per Week,Contracted
"30,431",Conspiracy,0,Weekly Coach Wash,0,100,Per Week,Contracted
"30,431",Conspiracy,0,Linen Cleanings,0,75,Per Week,Contracted
"30,431",Conspiracy,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
"30,431",Conspiracy,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
"30,431",Conspiracy,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
"30,431",Conspiracy,0,Tolls,1,0,Flat Rate,Contracted
"30,431",Conspiracy,0,Driver Per Diem,2,50,Per Day,Contracted
