external_id,seq_number,artist_name,quote_name,quote_number,status,type,quoted_lease_start_date,quoted_lease_end_date,tour_start_date,tour_end_date,quoted_lease_days,tour_days,billed_bus_days,main_driver_days,billed_driver_days,total_estimated_miles,driver_deadhead_front_days,driver_deadhead_rear_days,bus_deadhead_front_days,bus_deadhead_rear_days,co_driver_days,discount_days,main_driver_overdrives,quoted_lease_months,tour_months,notes,_startracker_status,_is_contract,_startracker_total
"30,491",30,21 Savage,Test,"Q-21-SAVAGE-30,491",Declined,Short Term,2026  12:00:00 AM-02-03,2026  12:00:00 AM-02-05,2026  12:00:00 AM-02-03,2026  12:00:00 AM-02-05,3,3,3,0,0,0,0,0,0,0,0,0,0,,,,Quote - Closed,false,3954.6
"30,431",30,Absolutley Ridiculous,"Jan 16 - 17, 2026","Q-ABSOLUTLEY-RIDICULOU-30,431",Declined,Short Term,2026  12:00:00 AM-01-16,2026  12:00:00 AM-01-17,2026  12:00:00 AM-01-16,2026  12:00:00 AM-01-17,2,2,2,2,2,785,0,0,0,0,0,0,0,,,,Quote - Closed,false,5441.6
"30,418",30,Autobus,"Jan 14 - 27, 2026","Q-AUTOBUS-30,418",Declined,Short Term,2026  12:00:00 AM-01-16,2026  12:00:00 AM-01-25,2026  12:00:00 AM-01-16,2026  12:00:00 AM-01-25,10,10,14,4,4,1510,2,2,2,2,0,0,0,,,Mileage TBD   Drivers drop buses and pick them up,Quote - Closed,false,40734.2
"30,372",30,Benee,"Feb 27 - April 1, 2026","Q-BENEE-30,372",Declined,Short Term,2026  12:00:00 AM-02-27,2026  12:00:00 AM-04-01,2026  12:00:00 AM-02-27,2026  12:00:00 AM-04-01,34,34,42,0,0,14310,4,4,4,4,0,0,0,,,,Quote - Closed,false,91976.1
"29,315",29,Big Loud Management,"Jan 1 - Dec 31, 2026","Q-BIG-LOUD-MANAGEMENT-29,315",Approved,Long Term,2026  12:00:00 AM-01-01,2026  12:00:00 AM-12-31,2026  12:00:00 AM-01-01,2026  12:00:00 AM-12-31,365,365,0,0,0,0,0,0,0,0,0,0,0,12,12,lease sent 11.11.25,Contract - Committed,true,290400
"30,483",30,Brandi Carlile,"Feb 6 - March 6, 2026","Q-BRANDI-CARLILE-30,483",Declined,Short Term,2026  12:00:00 AM-02-06,2026  12:00:00 AM-03-06,2026  12:00:00 AM-02-06,2026  12:00:00 AM-03-06,29,29,36,36,36,8850,2,5,2,5,0,0,6,,,,Quote - Closed,false,511107.1
"30,492",30,BTE Presents,"Feb 5, 2026","Q-BTE-PRESENTS-30,492",Draft,Short Term,2026  12:00:00 AM-02-05,2026  12:00:00 AM-02-05,2026  12:00:00 AM-02-05,2026  12:00:00 AM-02-05,1,1,1,2,2,290,0,0,0,0,0,0,0,,,,Quote - Active,false,3049
"30,406",30,Bus Wrap Inc.,"Jan 7 - March 7, 2026","Q-BUS-WRAP-INC-30,406",Declined,Short Term,2026  12:00:00 AM-01-07,2026  12:00:00 AM-03-07,2026  12:00:00 AM-01-07,2026  12:00:00 AM-03-07,60,60,60,60,60,0,0,0,0,0,0,0,0,,,,Quote - Closed,false,92181.6
"29,330",29,Carrie Underwood,"Jan 1 - Dec 31, 2026","Q-CARRIE-UNDERWOOD-29,330",Approved,Long Term,2026  12:00:00 AM-01-01,2026  12:00:00 AM-12-31,2026  12:00:00 AM-01-01,2026  12:00:00 AM-12-31,365,365,0,0,0,0,0,0,0,0,0,0,0,12,12,,Contract - Signed,true,339000
"29,362",29,Chris Lane,"Jan 14 - March 1, 2026","Q-CHRIS-LANE-29,362",Declined,Short Term,2026  12:00:00 AM-01-14,2026  12:00:00 AM-03-01,2026  12:00:00 AM-01-14,2026  12:00:00 AM-03-01,47,47,47,0,0,12330,0,0,0,0,11,12,0,,,Needs Shower,Quote - Closed,false,94503.4
"29,363",29,Chris Lane,"Jan 14 - March 1, 2026 Star Option","Q-CHRIS-LANE-29,363",Declined,Short Term,2026  12:00:00 AM-01-14,2026  12:00:00 AM-03-01,2026  12:00:00 AM-01-14,2026  12:00:00 AM-03-01,47,47,35,35,35,12330,0,0,0,0,11,12,10,,,,Quote - Closed,false,96924.2
"30,441",30,Daniel Donato,"Jan 28 - Dec 20, 2026","Q-DANIEL-DONATO-30,441",Approved,Long Term,2026  12:00:00 AM-01-28,2026  12:00:00 AM-12-20,2026  12:00:00 AM-01-28,2026  12:00:00 AM-12-20,327,327,0,0,0,0,0,0,0,0,0,0,0,10.77,10.77,Taking The Rig for the fist leg due to Snowman breakdown,Contract - Signed,true,190729
"30,425",30,Daniel Donato,"Jan 28 - March 2, 2026","Q-DANIEL-DONATO-30,425",Declined,Long Term,2026  12:00:00 AM-02-01,2026  12:00:00 AM-02-28,2026  12:00:00 AM-02-01,2026  12:00:00 AM-02-28,28,28,0,0,0,0,0,0,0,0,0,0,0,1,1,,Quote - Closed,false,19700
"30,417",30,Daniel Donato,"Jan 28 - March 2, 2026","Q-DANIEL-DONATO-30,417",Declined,Short Term,2026  12:00:00 AM-01-28,2026  12:00:00 AM-03-02,2026  12:00:00 AM-01-28,2026  12:00:00 AM-03-02,34,34,0,34,34,8890,0,0,0,0,0,0,5,,,,Quote - Closed,false,25715
"30,426",30,Daniel Donato,"Jan 28 - March 2, 2026","Q-DANIEL-DONATO-30,426",Declined,Short Term,2026  12:00:00 AM-01-28,2026  12:00:00 AM-03-02,2026  12:00:00 AM-01-28,2026  12:00:00 AM-03-02,34,34,0,34,34,0,0,0,0,0,0,0,0,,,,Quote - Closed,false,24264.8
"30,413",30,Hank Williams Jr,"Feb 13 - 16, 2026","Q-HANK-WILLIAMS-JR-30,413",Declined,Short Term,2026  12:00:00 AM-02-13,2026  12:00:00 AM-02-16,2026  12:00:00 AM-02-13,2026  12:00:00 AM-02-16,4,4,4,4,4,2105,0,0,0,0,4,0,2,,,,Quote - Closed,false,26273.2
"27,946",27,INZO,"Jan 22 - Mar 28, 2026","Q-INZO-27,946",Declined,Short Term,2026  12:00:00 AM-01-22,2026  12:00:00 AM-03-28,2026  12:00:00 AM-01-22,2026  12:00:00 AM-03-28,66,66,76,76,76,18180,5,5,5,5,0,0,8,,,Rick Hanson requested driver,Quote - Closed,false,140820
"30,429",30,IV Waste,"Feb 6 - 17, 2026","Q-IV-WASTE-30,429",Declined,Short Term,2026  12:00:00 AM-02-06,2026  12:00:00 AM-02-17,2026  12:00:00 AM-02-06,2026  12:00:00 AM-02-17,12,12,14,6,6,1200,2,2,1,1,0,0,0,,,,Quote - Closed,false,19787.6
"30,410",30,Jeff Michael,"Jan 6 - 10, 2026","Q-JEFF-MICHAEL-30,410",Declined,Short Term,2026  12:00:00 AM-01-06,2026  12:00:00 AM-01-10,2026  12:00:00 AM-01-06,2026  12:00:00 AM-01-10,5,5,5,5,5,3550,0,0,0,0,5,0,8,,,,Quote - Closed,false,13491
"29,371",29,Jenna Davis,"Feb 12 - 15, 2026","Q-JENNA-DAVIS-29,371",Declined,Short Term,2026  12:00:00 AM-02-12,2026  12:00:00 AM-02-15,2026  12:00:00 AM-02-12,2026  12:00:00 AM-02-15,4,4,4,4,4,1310,0,0,0,0,0,0,2,,,,Quote - Closed,false,9139.1
"29,372",29,Jenna Davis,"Feb 19 - 23, 2026","Q-JENNA-DAVIS-29,372",Declined,Short Term,2026  12:00:00 AM-02-19,2026  12:00:00 AM-02-23,2026  12:00:00 AM-02-19,2026  12:00:00 AM-02-23,5,5,5,5,5,2210,0,0,0,0,2,0,2,,,,Quote - Closed,false,13466.1
"29,373",29,Jenna Davis,"Feb 25 - Mar 1, 2026","Q-JENNA-DAVIS-29,373",Declined,Short Term,2026  12:00:00 AM-02-25,2026  12:00:00 AM-03-01,2026  12:00:00 AM-02-25,2026  12:00:00 AM-03-01,5,5,5,5,5,2095,0,0,0,0,5,0,0,,,,Quote - Closed,false,16164.35
"29,370",29,Jenna Davis,"Feb 4 - 8, 2026","Q-JENNA-DAVIS-29,370",Declined,Short Term,2026  12:00:00 AM-02-04,2026  12:00:00 AM-02-08,2026  12:00:00 AM-02-04,2026  12:00:00 AM-02-08,5,5,5,5,5,2315,0,0,0,0,5,0,2,,,,Quote - Closed,false,15673.35
"29,368",29,Jenna Davis,"Jan 22 - 25, 2026","Q-JENNA-DAVIS-29,368",Declined,Short Term,2026  12:00:00 AM-01-22,2026  12:00:00 AM-01-25,2026  12:00:00 AM-01-22,2026  12:00:00 AM-01-25,4,4,4,4,4,1165,0,0,0,0,0,0,1,,,,Quote - Closed,false,8297.85
"29,369",29,Jenna Davis,"Jan 28 - Feb 1, 2026","Q-JENNA-DAVIS-29,369",Declined,Short Term,2026  12:00:00 AM-01-28,2026  12:00:00 AM-02-01,2026  12:00:00 AM-01-28,2026  12:00:00 AM-02-01,5,5,5,5,5,1220,0,0,0,0,0,0,0,,,,Quote - Closed,false,9163.6
