name,legal_name,address,city,state,zip
Jennifer Hudson,Jennifer Hudson,,,,
Spin Doctors,Spin Doctors,,,,
The Fray,The Fray,,,,
Mt. Joy,Mt. Joy,,,,
Phantom Regiment,Phantom Regiment,,,,
Ziggy Marley,Ziggy Marley,10153 1/2 Riverside Drive #422,Toluca Lake,CA,91602
John Crist,John Crist,,,,
Bruce Hornsby,Bruce Hornsby,,,,
Live Nation,Live Nation,"44170 W. Twelve Mile Road, Suite 100",Novi,MI,48377
Stone Temple Pilots,Stone Temple Pilots,"c/o Glass Jacobson Malek LLP, 2850 Ocean Park Blvd., Ste 300",Santa Monica,CA,90405
Richy Mitch,Richy Mitch,,,,
MacKenzie Carpenter,MacKenzie Carpenter,,,,
Young The Giant,Young The Giant,"c/o Gelfand, Rennert & Feldman, LLC, 15821 Ventura Blvd, Ste 270",Encino,CA,91436
Sarah Mclachlan,Sarah Mclachlan,"3190 Harvester Road, Suite 202","Burlington, Ontario",,L7N 3T1
Carly Pearce,Carly Pearce,,,,
Pussycat Dolls,Pussycat Dolls,,,,
Daniel Donato,Daniel Donato,,,,
Cypress Hill,Cypress Hill,1050 W Alameda Ave  Ste 189,Burbank,CA,91504
Maren Morris,Maren Morris,"30 Music Square West, Suite 105",Nashville,TN,37203
Icona Pop,Icona Pop,,,,
Melissa Etheridge,Melissa Etheridge,"15821 Ventura Blvd, Ste 370",Encino,CA,91436
Sam Barber,Sam Barber,,,,
Slushy Noobz,Slushy Noobz,,,,
