external_id,vehicle_name,vehicle_index,item_type,quantity,rate,unit_type,billing_category
29323,Adrenaline,0,"Coach Rate, Daily",38,850,Per Day,Contracted
29323,Adrenaline,0,"Driver Rate, Daily",38,400,Per Day,Contracted
29323,Adrenaline,0,"Satellite Service, Daily",38,35,Per Day,Contracted
29323,Adrenaline,0,"Internet Service, Daily",38,50,Per Day,Contracted
29323,Adrenaline,0,"Insurance, Daily",38,50,Per Day,Contracted
29323,Adrenaline,0,"IFTA/DOT Fee, Daily",38,50,Per Day,Contracted
29323,Adrenaline,0,Fuel Estimate,9750,1.55,Per Mile,Contracted
29323,Adrenaline,0,Engine Services,9750,0.5,Per Mile,Contracted
29323,Adrenaline,0,Weekly Generator Services,4,195,Per Week,Contracted
29323,Adrenaline,0,Interior Cleanings,4,95,Per Week,Contracted
29323,Adrenaline,0,Weekly Coach Wash,4,100,Per Week,Contracted
29323,Adrenaline,0,Linen Cleanings,4,75,Per Week,Contracted
29323,Adrenaline,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
29323,Adrenaline,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
29323,Adrenaline,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29323,Adrenaline,0,Tolls,1,955,Flat Rate,Contracted
29323,Adrenaline,0,Driver Overdrives,4,400,Per Quantity,Contracted
29323,Adrenaline,0,Driver Hotel Buy Outs,5,150,Per Quantity,Contracted
29323,Adrenaline,0,Driver Per Diem,38,50,Per Day,Contracted
29323,Adrenaline,0,Admin Fee,1,0,Flat Rate,Contracted
29323,Adrenaline,0,Miscellaneous,1,0,Flat Rate,Contracted
29323,High Roller,1,"Coach Rate, Daily",38,1000,Per Day,Contracted
29323,High Roller,1,"Driver Rate, Daily",38,425,Per Day,Contracted
29323,High Roller,1,"Satellite Service, Daily",38,35,Per Day,Contracted
29323,High Roller,1,"Internet Service, Daily",38,50,Per Day,Contracted
29323,High Roller,1,"Insurance, Daily",38,50,Per Day,Contracted
29323,High Roller,1,"IFTA/DOT Fee, Daily",38,50,Per Day,Contracted
29323,High Roller,1,Fuel Estimate,9750,1.55,Per Mile,Contracted
29323,High Roller,1,Engine Services,9750,0.5,Per Mile,Contracted
29323,High Roller,1,Weekly Generator Services,4,195,Per Week,Contracted
29323,High Roller,1,Interior Cleanings,4,95,Per Week,Contracted
29323,High Roller,1,Weekly Coach Wash,4,100,Per Week,Contracted
29323,High Roller,1,Linen Cleanings,4,75,Per Week,Contracted
29323,High Roller,1,End of Tour Cleaning,1,600,Flat Rate,Contracted
29323,High Roller,1,Upholstery Cleaning,1,0,Flat Rate,Contracted
29323,High Roller,1,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29323,High Roller,1,Tolls,1,955,Flat Rate,Contracted
29323,High Roller,1,Driver Overdrives,4,425,Per Quantity,Contracted
29323,High Roller,1,Driver Hotel Buy Outs,5,150,Per Quantity,Contracted
29323,High Roller,1,Driver Per Diem,38,50,Per Day,Contracted
29323,High Roller,1,Admin Fee,1,0,Flat Rate,Contracted
29323,High Roller,1,Miscellaneous,1,0,Flat Rate,Contracted
29323,Matador,2,"Coach Rate, Daily",38,850,Per Day,Contracted
29323,Matador,2,"Driver Rate, Daily",38,400,Per Day,Contracted
29323,Matador,2,"Satellite Service, Daily",38,35,Per Day,Contracted
29323,Matador,2,"Internet Service, Daily",38,50,Per Day,Contracted
29323,Matador,2,"Insurance, Daily",38,50,Per Day,Contracted
29323,Matador,2,"IFTA/DOT Fee, Daily",38,50,Per Day,Contracted
29323,Matador,2,Fuel Estimate,9750,1.55,Per Mile,Contracted
29323,Matador,2,Engine Services,9750,0.5,Per Mile,Contracted
29323,Matador,2,Weekly Generator Services,4,195,Per Week,Contracted
29323,Matador,2,Interior Cleanings,4,95,Per Week,Contracted
29323,Matador,2,Weekly Coach Wash,4,100,Per Week,Contracted
29323,Matador,2,Linen Cleanings,4,75,Per Week,Contracted
29323,Matador,2,End of Tour Cleaning,1,600,Flat Rate,Contracted
29323,Matador,2,Upholstery Cleaning,1,0,Flat Rate,Contracted
29323,Matador,2,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29323,Matador,2,Tolls,1,955,Flat Rate,Contracted
29323,Matador,2,Driver Overdrives,4,400,Per Quantity,Contracted
29323,Matador,2,Driver Hotel Buy Outs,5,150,Per Quantity,Contracted
29323,Matador,2,Driver Per Diem,38,50,Per Day,Contracted
29323,Matador,2,Admin Fee,1,0,Flat Rate,Contracted
29323,Matador,2,Miscellaneous,1,0,Flat Rate,Contracted
29333,Adrenaline,0,"Coach Rate, Daily",80,850,Per Day,Contracted
29333,Adrenaline,0,"Driver Rate, Daily",80,450,Per Day,Contracted
29333,Adrenaline,0,"Satellite Service, Daily",80,35,Per Day,Contracted
29333,Adrenaline,0,"Internet Service, Daily",80,50,Per Day,Contracted
29333,Adrenaline,0,"Insurance, Daily",80,50,Per Day,Contracted
29333,Adrenaline,0,"IFTA/DOT Fee, Daily",80,50,Per Day,Contracted
29333,Adrenaline,0,Fuel Estimate,17870,1.5,Per Mile,Contracted
29333,Adrenaline,0,Engine Services,17870,0.5,Per Mile,Contracted
29333,Adrenaline,0,Weekly Generator Services,10,195,Per Week,Contracted
29333,Adrenaline,0,Interior Cleanings,10,95,Per Week,Contracted
29333,Adrenaline,0,Weekly Coach Wash,10,140,Per Week,Contracted
29333,Adrenaline,0,Linen Cleanings,10,75,Per Week,Contracted
29333,Adrenaline,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
29333,Adrenaline,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
29333,Adrenaline,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29333,Adrenaline,0,Tolls,1,850,Flat Rate,Contracted
29333,Adrenaline,0,Driver Hotel Buy Outs,3,150,Per Quantity,Contracted
29333,Adrenaline,0,Driver Per Diem,80,50,Per Day,Contracted
29333,Adrenaline,0,Admin Fee,1,0,Flat Rate,Contracted
29333,Adrenaline,0,Miscellaneous,1,0,Flat Rate,Contracted
29333,CC9004,1,"Trailer Rate, Daily",80,110,Per Day,Contracted
29339,First Order,0,"Coach Rate, Daily",62,1150,Per Day,Contracted
29339,First Order,0,"Driver Rate, Daily",62,425,Per Day,Contracted
29339,First Order,0,"Satellite Service, Daily",62,35,Per Day,Contracted
29339,First Order,0,"Internet Service, Daily",62,50,Per Day,Contracted
29339,First Order,0,"Insurance, Daily",62,50,Per Day,Contracted
29339,First Order,0,"IFTA/DOT Fee, Daily",62,50,Per Day,Contracted
29339,First Order,0,Fuel Estimate,0,1.54,Per Mile,Contracted
29339,First Order,0,Engine Services,0,0.5,Per Mile,Contracted
29339,First Order,0,Weekly Generator Services,8,195,Per Week,Contracted
29339,First Order,0,Interior Cleanings,8,95,Per Week,Contracted
29339,First Order,0,Weekly Coach Wash,8,100,Per Week,Contracted
29339,First Order,0,Linen Cleanings,8,75,Per Week,Contracted
29339,First Order,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
29339,First Order,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
29339,First Order,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29339,First Order,0,Tolls,1,0,Flat Rate,Contracted
29339,First Order,0,Driver Per Diem,62,50,Per Day,Contracted
29339,First Order,0,Admin Fee,1,0,Flat Rate,Contracted
29339,First Order,0,Miscellaneous,1,0,Flat Rate,Contracted
29339,Headliner,1,"Coach Rate, Daily",62,1150,Per Day,Contracted
29339,Headliner,1,"Driver Rate, Daily",62,425,Per Day,Contracted
29339,Headliner,1,"Satellite Service, Daily",62,35,Per Day,Contracted
29339,Headliner,1,"Internet Service, Daily",62,50,Per Day,Contracted
29339,Headliner,1,"Insurance, Daily",62,50,Per Day,Contracted
29339,Headliner,1,"IFTA/DOT Fee, Daily",62,50,Per Day,Contracted
29339,Headliner,1,Fuel Estimate,0,1.35,Per Mile,Contracted
29339,Headliner,1,Engine Services,0,0.5,Per Mile,Contracted
29339,Headliner,1,Weekly Generator Services,8,195,Per Week,Contracted
29339,Headliner,1,Interior Cleanings,8,95,Per Week,Contracted
29339,Headliner,1,Weekly Coach Wash,8,100,Per Week,Contracted
29339,Headliner,1,Linen Cleanings,8,75,Per Week,Contracted
29339,Headliner,1,End of Tour Cleaning,1,600,Flat Rate,Contracted
29339,Headliner,1,Upholstery Cleaning,1,0,Flat Rate,Contracted
29339,Headliner,1,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29339,Headliner,1,Tolls,1,0,Flat Rate,Contracted
29339,Headliner,1,Driver Per Diem,62,50,Per Day,Contracted
29339,Headliner,1,Admin Fee,1,0,Flat Rate,Contracted
29339,Headliner,1,Miscellaneous,1,0,Flat Rate,Contracted
29339,High Roller,2,"Coach Rate, Daily",62,1150,Per Day,Contracted
29339,High Roller,2,"Driver Rate, Daily",62,425,Per Day,Contracted
29339,High Roller,2,"Satellite Service, Daily",62,35,Per Day,Contracted
29339,High Roller,2,"Internet Service, Daily",62,50,Per Day,Contracted
29339,High Roller,2,"Insurance, Daily",62,50,Per Day,Contracted
29339,High Roller,2,"IFTA/DOT Fee, Daily",62,50,Per Day,Contracted
29339,High Roller,2,Fuel Estimate,0,1.54,Per Mile,Contracted
29339,High Roller,2,Engine Services,0,0.5,Per Mile,Contracted
29339,High Roller,2,Weekly Generator Services,8,195,Per Week,Contracted
29339,High Roller,2,Interior Cleanings,8,95,Per Week,Contracted
29339,High Roller,2,Weekly Coach Wash,8,100,Per Week,Contracted
29339,High Roller,2,Linen Cleanings,8,75,Per Week,Contracted
29339,High Roller,2,End of Tour Cleaning,1,600,Flat Rate,Contracted
29339,High Roller,2,Upholstery Cleaning,1,0,Flat Rate,Contracted
29339,High Roller,2,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29339,High Roller,2,Tolls,1,0,Flat Rate,Contracted
29339,High Roller,2,Driver Per Diem,62,50,Per Day,Contracted
29339,High Roller,2,Admin Fee,1,0,Flat Rate,Contracted
29339,High Roller,2,Miscellaneous,1,0,Flat Rate,Contracted
29339,Matador,3,"Coach Rate, Daily",62,800,Per Day,Contracted
29339,Matador,3,"Driver Rate, Daily",62,400,Per Day,Contracted
29339,Matador,3,"Satellite Service, Daily",62,35,Per Day,Contracted
29339,Matador,3,"Internet Service, Daily",62,50,Per Day,Contracted
29339,Matador,3,"Insurance, Daily",62,50,Per Day,Contracted
29339,Matador,3,"IFTA/DOT Fee, Daily",62,50,Per Day,Contracted
29339,Matador,3,Fuel Estimate,0,1.35,Per Mile,Contracted
29339,Matador,3,Engine Services,0,0.5,Per Mile,Contracted
29339,Matador,3,Weekly Generator Services,8,195,Per Week,Contracted
29339,Matador,3,Interior Cleanings,8,95,Per Week,Contracted
29339,Matador,3,Weekly Coach Wash,8,100,Per Week,Contracted
29339,Matador,3,Linen Cleanings,8,75,Per Week,Contracted
29339,Matador,3,End of Tour Cleaning,1,600,Flat Rate,Contracted
29339,Matador,3,Upholstery Cleaning,1,0,Flat Rate,Contracted
29339,Matador,3,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29339,Matador,3,Tolls,1,0,Flat Rate,Contracted
29339,Matador,3,Driver Per Diem,62,50,Per Day,Contracted
29339,Matador,3,Admin Fee,1,0,Flat Rate,Contracted
29339,Matador,3,Miscellaneous,1,0,Flat Rate,Contracted
29339,Phantom,4,"Coach Rate, Daily",62,650,Per Day,Contracted
29339,Phantom,4,"Driver Rate, Daily",62,400,Per Day,Contracted
29339,Phantom,4,"Satellite Service, Daily",62,35,Per Day,Contracted
29339,Phantom,4,"Internet Service, Daily",62,50,Per Day,Contracted
29339,Phantom,4,"Insurance, Daily",62,50,Per Day,Contracted
29339,Phantom,4,"IFTA/DOT Fee, Daily",62,50,Per Day,Contracted
29339,Phantom,4,Fuel Estimate,0,1.35,Per Mile,Contracted
29339,Phantom,4,Engine Services,0,0.5,Per Mile,Contracted
29339,Phantom,4,Weekly Generator Services,8,195,Per Week,Contracted
29339,Phantom,4,Interior Cleanings,8,95,Per Week,Contracted
29339,Phantom,4,Weekly Coach Wash,8,100,Per Week,Contracted
29339,Phantom,4,Linen Cleanings,8,75,Per Week,Contracted
29339,Phantom,4,End of Tour Cleaning,1,600,Flat Rate,Contracted
29339,Phantom,4,Upholstery Cleaning,1,0,Flat Rate,Contracted
29339,Phantom,4,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29339,Phantom,4,Tolls,1,0,Flat Rate,Contracted
29339,Phantom,4,Driver Per Diem,62,50,Per Day,Contracted
29339,Phantom,4,Admin Fee,1,0,Flat Rate,Contracted
29339,Phantom,4,Miscellaneous,1,0,Flat Rate,Contracted
29339,Rhythm,5,"Coach Rate, Daily",62,650,Per Day,Contracted
29339,Rhythm,5,"Driver Rate, Daily",62,400,Per Day,Contracted
29339,Rhythm,5,"Satellite Service, Daily",62,35,Per Day,Contracted
29339,Rhythm,5,"Internet Service, Daily",62,50,Per Day,Contracted
29339,Rhythm,5,"Insurance, Daily",62,50,Per Day,Contracted
29339,Rhythm,5,"IFTA/DOT Fee, Daily",62,50,Per Day,Contracted
29339,Rhythm,5,Fuel Estimate,0,1.35,Per Mile,Contracted
29339,Rhythm,5,Engine Services,0,0.5,Per Mile,Contracted
29339,Rhythm,5,Weekly Generator Services,8,195,Per Week,Contracted
29339,Rhythm,5,Interior Cleanings,8,95,Per Week,Contracted
