external_id,vehicle_name,vehicle_index,use_custom_tour_data,custom_tour_start_date,custom_tour_end_date,custom_total_estimated_miles,custom_tour_days,custom_billed_bus_days,custom_main_driver_days
29323,Adrenaline,0,false,,,,,,
29323,High Roller,1,false,,,,,,
29323,Matador,2,false,,,,,,
29333,Adrenaline,0,false,,,,,,
29339,First Order,0,false,,,,,,
29339,Headliner,1,false,,,,,,
29339,High Roller,2,false,,,,,,
29339,Matador,3,false,,,,,,
29339,Phantom,4,false,,,,,,
29339,Rhythm,5,false,,,,,,
29349,Attitude,0,false,,,,,,
29349,Conspiracy,3,false,,,,,,
29349,Gypsy,4,false,,,,,,
29365,Miss Behavin,0,false,,,,,,
29365,Rising Sun,1,false,,,,,,
29365,Tease,2,false,,,,,,
29374,Marshall,2,false,,,,,,
29374,Sapphire,3,false,,,,,,
29383,Telluride,0,false,,,,,,
29387,Magnolia,1,false,,,,,,
30375,Summit,0,false,,,,,,
30377,Adrenaline,0,false,,,,,,
30377,Anonymous,1,false,,,,,,
30377,Havana,2,false,,,,,,
30382,Conspiracy,0,false,,,,,,
30382,Matador,1,false,,,,,,
30383,Cash,0,false,,,,,,
30386,Rebel ( Jana),0,false,,,,,,
30393,Anonymous,0,false,,,,,,
30393,Havana,3,false,,,,,,
30399,Apex,0,false,,,,,,
30399,Hickory,1,false,,,,,,
30399,Summit,2,false,,,,,,
30399,Symphony,3,false,,,,,,
30402,Carrera,0,false,,,,,,
30402,Telluride,1,false,,,,,,
30403,Carrera,0,false,,,,,,
30403,Telluride,1,false,,,,,,
30421,Adrenaline,0,false,,,,,,
30421,Carrera,1,false,,,,,,
30421,Conspiracy,2,false,,,,,,
30421,Hickory,3,false,,,,,,
30421,Summit,4,false,,,,,,
30421,Telluride,5,false,,,,,,
30421,Temptation,6,false,,,,,,
30437,Snowman,0,false,,,,,,
30443,Liberty,0,false,,,,,,
30443,Phantom,1,false,,,,,,
30457,Checkmate,2,false,,,,,,
30457,Conspiracy,3,false,,,,,,
30465,Checkmate,0,false,,,,,,
30470,Marshall,0,false,,,,,,
30470,Sapphire,1,false,,,,,,
30474,Rebel ( Jana),0,false,,,,,,
30479,Gypsy,1,false,,,,,,
30479,Liberty,2,false,,,,,,
30486,Marshall,0,false,,,,,,
30486,Sapphire,1,false,,,,,,
30489,Attitude,0,false,,,,,,
