external_id,seq_number,artist_name,quote_name,quote_number,status,type,quoted_lease_start_date,quoted_lease_end_date,tour_start_date,tour_end_date,quoted_lease_days,tour_days,billed_bus_days,main_driver_days,billed_driver_days,total_estimated_miles,driver_deadhead_front_days,driver_deadhead_rear_days,bus_deadhead_front_days,bus_deadhead_rear_days,co_driver_days,discount_days,main_driver_overdrives,quoted_lease_months,tour_months,notes,_startracker_status,_is_contract,_startracker_total
29323,29323,Jennifer Hudson,"June 3 - July 3, 2026",Q-JENNIFER-HUDSON-29323,Declined,Short Term,2026  12:00:00 AM-06-03,2026  12:00:00 AM-07-03,2026  12:00:00 AM-06-03,2026  12:00:00 AM-07-03,31,31,38,38,38,9750,3,4,3,4,0,0,4,,,,Quote - Closed,false,269895.9
29333,29333,Spin Doctors,"7/1 - 9/18, 2026",Q-SPIN-DOCTORS-29333,Declined,Short Term,2026  12:00:00 AM-07-01,2026  12:00:00 AM-09-14,2026  12:00:00 AM-07-01,2026  12:00:00 AM-09-14,76,76,80,80,80,17870,4,0,4,0,0,0,0,,,,Quote - Closed,false,185910
29339,29339,The Fray,"July 1 - Aug 31, 2026",Q-THE-FRAY-29339,Draft,Short Term,2026  12:00:00 AM-07-01,2026  12:00:00 AM-08-31,2026  12:00:00 AM-07-01,2026  12:00:00 AM-08-31,62,62,62,62,62,0,0,0,0,0,0,0,0,,,,Quote - Active,false,660105.6
29349,29349,Mt. Joy,"June 3 - 14, 2026",Q-MT-JOY-29349,Declined,Short Term,2026  12:00:00 AM-06-04,2026  12:00:00 AM-06-14,2026  12:00:00 AM-06-04,2026  12:00:00 AM-06-14,11,11,11,11,11,4520,0,0,0,0,6,0,4,,,,Quote - Closed,false,100290
29365,29365,Phantom Regiment,"June 22 - August 8, 2026",Q-PHANTOM-REGIMENT-29365,Declined,Short Term,2026  12:00:00 AM-06-24,2026  12:00:00 AM-08-08,2026  12:00:00 AM-06-24,2026  12:00:00 AM-08-08,46,46,49,49,49,8615,2,1,2,1,0,0,0,,,,Quote - Closed,false,259464.59999999998
29374,29374,Ziggy Marley,"June 17 - July 18, 2026",Q-ZIGGY-MARLEY-29374,Approved,Short Term,2026  12:00:00 AM-06-17,2026  12:00:00 AM-07-18,2026  12:00:00 AM-06-17,2026  12:00:00 AM-07-18,32,32,39,0,0,11750,4,3,4,3,0,0,0,,,2023 or newer for 1     Dates are changing on pickup and drop,Contract - Signed,true,212290.2
29383,29383,John Crist,"June 4 - 7, 2026",Q-JOHN-CRIST-29383,Declined,Short Term,2026  12:00:00 AM-06-04,2026  12:00:00 AM-06-07,2026  12:00:00 AM-06-04,2026  12:00:00 AM-06-07,4,4,4,5,5,1195,1,0,0,0,0,0,1,,,,Quote - Closed,false,11314.35
29387,29387,Bruce Hornsby,"June 2 - 21, 2026",Q-BRUCE-HORNSBY-29387,Declined,Short Term,2026  12:00:00 AM-06-02,2026  12:00:00 AM-06-21,2026  12:00:00 AM-06-02,2026  12:00:00 AM-06-21,20,20,29,0,0,7071,5,4,5,4,0,0,0,,,,Quote - Closed,false,70859.35
30375,30375,Live Nation,"July 23 - Sept 19, 2026",Q-LIVE-NATION-30375,Declined,Short Term,2026  12:00:00 AM-07-23,2026  12:00:00 AM-09-20,2026  12:00:00 AM-07-23,2026  12:00:00 AM-09-20,60,60,62,62,62,15750,2,0,2,0,0,0,8,,,,Quote - Closed,false,141338.59
30377,30377,The Fray,"July 9 - August 30, 2026",Q-THE-FRAY-30377,Draft,Short Term,2026  12:00:00 AM-07-09,2026  12:00:00 AM-08-29,2026  12:00:00 AM-07-09,2026  12:00:00 AM-08-29,52,52,52,52,52,11550,0,0,0,0,0,0,4,,,1 band condo 2 crew,Quote - Active,false,342305.19999999995
30382,30382,Stone Temple Pilots,"June 11 - July 3, 2026",Q-STONE-TEMPLE-PILOTS-30382,Draft,Short Term,2026  12:00:00 AM-06-11,2026  12:00:00 AM-07-03,2026  12:00:00 AM-06-11,2026  12:00:00 AM-07-03,23,23,28,28,28,7480,2,3,2,3,0,0,2,,,,Quote - Active,false,126391.2
30383,30383,Richy Mitch,"July 15 - 26, 2026",Q-RICHY-MITCH-30383,Declined,Short Term,2026  12:00:00 AM-07-15,2026  12:00:00 AM-07-26,2026  12:00:00 AM-07-15,2026  12:00:00 AM-07-26,12,12,12,12,12,3175,0,0,0,0,3,0,2,,,,Quote - Closed,false,29427.15
30386,30386,MacKenzie Carpenter,"July 1 - September 30, 2026",Q-MACKENZIE-CARPENTER-30386,Approved,Long Term,2026  12:00:00 AM-07-01,2026  12:00:00 AM-09-30,2026  12:00:00 AM-07-01,2026  12:00:00 AM-09-30,92,92,0,0,0,0,0,0,0,0,0,0,0,3,3,Pays own fuel   Same deal breakdown as George Birge  0.50 engine service   Lease sent,Contract - Signed,true,54600
30393,30393,Young The Giant,"July 8 - August 10, 2026",Q-YOUNG-THE-GIANT-30393,Draft,Short Term,2026  12:00:00 AM-07-08,2026  12:00:00 AM-08-10,2026  12:00:00 AM-07-08,2026  12:00:00 AM-08-10,34,34,34,34,34,8590,0,0,0,0,4,0,4,,,2018 or newer - must be,Quote - Active,false,174991.2
30399,30399,Sarah Mclachlan,"June 30 - August 9, 2026",Q-SARAH-MCLACHLAN-30399,Approved,Short Term,2026  12:00:00 AM-06-30,2026  12:00:00 AM-08-09,2026  12:00:00 AM-06-30,2026  12:00:00 AM-08-09,41,41,44,46,46,10575,0,5,0,3,0,0,3,,,Reduced 2 days bus DHR on each bus for 2025 issues.  3 or 4 buses TBD   Old pay scale,Contract - Verbal,true,405308
30402,30402,Carly Pearce,"June 11 - 14, 2026",Q-CARLY-PEARCE-30402,Declined,Short Term,2026  12:00:00 AM-06-11,2026  12:00:00 AM-06-14,2026  12:00:00 AM-06-11,2026  12:00:00 AM-06-14,4,4,4,4,4,530,0,0,0,0,0,0,0,,,,Quote - Closed,false,16511.2
30403,30403,Carly Pearce,"June 18 - 21, 2026",Q-CARLY-PEARCE-30403,Declined,Short Term,2026  12:00:00 AM-06-18,2026  12:00:00 AM-06-21,2026  12:00:00 AM-06-18,2026  12:00:00 AM-06-21,4,4,4,4,4,2020,0,0,0,0,4,0,2,,,,Quote - Closed,false,28641.2
