name,legal_name,address,city,state,zip
Ryan Castro,Ryan Castro,,,,
Zach Williams,Zach Williams,P.O. Box 128287,Nashville,TN,37212
Kip Moore,Kip Moore,PO Box 340020,Nashville,TN,37203
Blood Incantation,Blood Incantation,,,,
Kenny Wayne Shepherd,Kenny Wayne Shepherd,PO Box 100,Prospect,TX,75078
George Birge,George Birge,"188 Front St, Ste 116-44",Franklin,TN,37064
John Crist,John Crist,,,,
Lady A,Lady A,PO Box 340020,Nashville,TN,37203
Josh Campbell,Josh Campbell,,,,
Herb Alpert,Herb Alpert,1414 6th St,Santa Monica,CA,90401
Brook and the Bluff,Brook and the Bluff,,,,
The Fray,The Fray,,,,
Pat Metheny,Pat Metheny,173 Brighton Ave,Boston,MA,02134
Seph Schlueter,Seph Schlueter,,,,
Josiah Queen,Josiah Queen,,,,
Carly Pearce,Carly Pearce,,,,
SUNN,SUNN,,,,
Our Lady Peace Touring Inc.,Our Lady Peace Touring Inc.,"c/o Lorne Sprackman at Sprackman Terrence Inc., 789 Don Mills Rd. Suite #606","Toronto, Ontario",Canada,M3C 1T5
Melissa Etheridge,Melissa Etheridge,"15821 Ventura Blvd, Ste 370",Encino,CA,91436
Thievery Corporation,Thievery Corporation,"C3 Management, 98 San Jacinto Blvd. Suite 400",Austin,TX,78701
"Lucero, LLC","Lucero, LLC",753 Kalamath Street,Denver,CO,80204
Dylan Scott,Dylan Scott,,,,
Warren Zeiders,Warren Zeiders,"798 Berry Rd, Unit 40188",Nashville,TN,37204
Daniel Donato,Daniel Donato,,,,
Stephen Wilson Jr,Stephen Wilson Jr,2300 Charlotte Ave,Nashville,TN,37203
Tyler Farr,Tyler Farr,PO Box 331847,Nashville,TN,
Animals As Leaders,Animals As Leaders,,,,
Sabrina Claudio,Sabrina Claudio,,,,
Avery Anna,Avery Anna,,,,
Yung Kai,Yung Kai,,,,
We Are Messengers,We Are Messengers,,,,
