external_id,vehicle_name,vehicle_index,item_type,quantity,rate,unit_type,billing_category
29200,First Order,0,"Coach Rate, Daily",42,1000,Per Day,Contracted
29200,First Order,0,"Driver Rate, Daily",42,425,Per Day,Contracted
29200,First Order,0,"Satellite Service, Daily",42,35,Per Day,Contracted
29200,First Order,0,"Internet Service, Daily",42,50,Per Day,Contracted
29200,First Order,0,"Insurance, Daily",42,50,Per Day,Contracted
29200,First Order,0,"IFTA/DOT Fee, Daily",42,50,Per Day,Contracted
29200,First Order,0,Fuel Estimate,12000,1.55,Per Mile,Contracted
29200,First Order,0,Engine Services,12000,0.6,Per Mile,Contracted
29200,First Order,0,Weekly Generator Services,5,195,Per Week,Contracted
29200,First Order,0,Interior Cleanings,5,95,Per Week,Contracted
29200,First Order,0,Weekly Coach Wash,5,100,Per Week,Contracted
29200,First Order,0,Linen Cleanings,5,75,Per Week,Contracted
29200,First Order,0,End of Tour Cleaning,1,600,Flat Rate,Contracted
29200,First Order,0,Upholstery Cleaning,1,0,Flat Rate,Contracted
29200,First Order,0,Bed Kit Install / Bunk Change Fee,1,0,Flat Rate,Contracted
29200,First Order,0,Tolls,1,845,Flat Rate,Contracted
29200,First Order,0,Driver Overdrives,6,425,Per Quantity,Contracted
29200,First Order,0,Driver Hotel Buy Outs,5,150,Per Quantity,Contracted
29200,First Order,0,Driver Per Diem,42,50,Per Day,Contracted
29200,First Order,0,Admin Fee,1,0,Flat Rate,Contracted
29200,First Order,0,Miscellaneous,1,0,Flat Rate,Contracted
29200,Havana,1,"Coach Rate, Daily",42,850,Per Day,Contracted
29200,Havana,1,"Driver Rate, Daily",42,400,Per Day,Contracted
29200,Havana,1,"Satellite Service, Daily",42,35,Per Day,Contracted
29200,Havana,1,"Internet Service, Daily",42,50,Per Day,Contracted
29200,Havana,1,"Insurance, Daily",42,50,Per Day,Contracted
29200,Havana,1,"IFTA/DOT Fee, Daily",42,50,Per Day,Contracted
29200,Havana,1,Fuel Estimate,12000,1.55,Per Mile,Contracted
