external_id,vehicle_name,vehicle_index,use_custom_tour_data,custom_tour_start_date,custom_tour_end_date,custom_total_estimated_miles,custom_tour_days,custom_billed_bus_days,custom_main_driver_days
29200,First Order,0,false,,,,,,
29200,Havana,1,false,,,,,,
29200,Hickory,2,false,,,,,,
29200,Matador,3,false,,,,,,
29326,Attitude,0,false,,,,,,
29326,Highways,1,false,,,,,,
29337,Jester,0,false,,,,,,
29338,Jester,0,false,,,,,,
29352,Been There,0,false,,,,,,
29356,Carolina,0,false,,,,,,
29356,Gypsy,1,false,,,,,,
29367,Confession,0,false,,,,,,
29378,Telluride,0,false,,,,,,
29379,Telluride,0,false,,,,,,
30368,Freedom,0,false,,,,,,
30368,Gypsy,1,false,,,,,,
30368,Headliner,2,false,,,,,,
30368,High Roller,3,false,,,,,,
30373,Drifter,2,false,,,,,,
30373,Tupelo Honey,3,false,,,,,,
30374,Cayman,0,false,,,,,,
30376,Snowman,0,false,,,,,,
30379,Havana,0,false,,,,,,
30381,Summit,0,false,,,,,,
30385,All In,0,false,,,,,,
30394,Adrenaline,0,false,,,,,,
30394,Conspiracy,3,false,,,,,,
30394,Outlaw III,4,false,,,,,,
30396,Cayman,0,false,,,,,,
30396,Telluride,1,false,,,,,,
30404,Imposter,0,false,,,,,,
30408,Rhythm,1,false,,,,,,
30420,Marshall,0,false,,,,,,
30420,Sapphire,1,false,,,,,,
30424,Attitude,0,false,,,,,,
30427,The Rig,1,false,,,,,,
30433,Imposter,0,false,,,,,,
30434,Freedom,0,false,,,,,,
30434,Jester,1,false,,,,,,
30434,Rogue,2,false,,,,,,
30435,Snowman,0,false,,,,,,
30454,Liberty,1,false,,,,,,
30460,Phantom,0,false,,,,,,
30477,Liberty,1,false,,,,,,
30478,Matador,0,false,,,,,,
30481,Phantom,1,false,,,,,,
30484,The Rig,1,false,,,,,,
30476,Attitude,0,false,,,,,,
