external_id,seq_number,artist_name,quote_name,quote_number,status,type,quoted_lease_start_date,quoted_lease_end_date,tour_start_date,tour_end_date,quoted_lease_days,tour_days,billed_bus_days,main_driver_days,billed_driver_days,total_estimated_miles,driver_deadhead_front_days,driver_deadhead_rear_days,bus_deadhead_front_days,bus_deadhead_rear_days,co_driver_days,discount_days,main_driver_overdrives,quoted_lease_months,tour_months,notes,_startracker_status,_is_contract,_startracker_total
29200,29200,Ryan Castro,"March 15 - April 19, 2026",Q-RYAN-CASTRO-29200,Declined,Short Term,2026  12:00:00 AM-03-15,2026  12:00:00 AM-04-19,2026  12:00:00 AM-03-15,2026  12:00:00 AM-04-19,36,36,42,42,42,12000,2,4,2,4,0,0,6,,,,Quote - Closed,false,413144
29326,29326,Zach Williams,"March 18 - May 11, 2026",Q-ZACH-WILLIAMS-29326,Declined,Short Term,2026  12:00:00 AM-03-18,2026  12:00:00 AM-05-11,2026  12:00:00 AM-03-18,2026  12:00:00 AM-05-11,55,55,55,55,55,18550,0,0,0,0,14,0,13,,,,Quote - Closed,false,293667.82
29337,29337,Kip Moore,March 5 - 8,Q-KIP-MOORE-29337,Declined,Short Term,2026  12:00:00 AM-03-05,2026  12:00:00 AM-03-08,2026  12:00:00 AM-03-05,2026  12:00:00 AM-03-08,4,4,4,0,0,0,0,0,0,0,0,0,0,,,Routing TBD,Quote - Closed,false,4989.6
29338,29338,Kip Moore,"March 26 - 29, 2026",Q-KIP-MOORE-29338,Declined,Short Term,2026  12:00:00 AM-03-26,2026  12:00:00 AM-03-29,2026  12:00:00 AM-03-26,2026  12:00:00 AM-03-29,4,4,4,0,0,0,0,0,0,0,0,0,0,,,Routing TBD,Quote - Closed,false,4989.6
29352,29352,Blood Incantation,"March 26 - April 10, 2026",Q-BLOOD-INCANTATION-29352,Declined,Short Term,2026  12:00:00 AM-03-26,2026  12:00:00 AM-04-14,2026  12:00:00 AM-03-26,2026  12:00:00 AM-04-14,20,20,23,23,23,6375,0,3,0,3,8,0,2,,,,Quote - Closed,false,57249.8
29356,29356,Kenny Wayne Shepherd,"March 5 - 15, 2026",Q-KENNY-WAYNE-SHEPHERD-29356,Approved,Short Term,2026  12:00:00 AM-03-05,2026  12:00:00 AM-03-15,2026  12:00:00 AM-03-05,2026  12:00:00 AM-03-15,11,11,11,11,11,2960,0,0,0,0,4,0,0,,,Paying own fuel + internet removed,Contract - Committed,true,43940.4
29367,29367,George Birge,"March 1, 2026 - August 31, 2026",Q-GEORGE-BIRGE-29367,Approved,Long Term,2026  12:00:00 AM-03-01,2026  12:00:00 AM-08-31,2026  12:00:00 AM-03-01,2026  12:00:00 AM-08-31,184,184,0,0,0,0,0,0,0,0,0,0,0,6,6,All things stay same as prior lease,Contract - Signed,true,133200
29378,29378,John Crist,"March 19 - 22, 2026",Q-JOHN-CRIST-29378,Declined,Short Term,2026  12:00:00 AM-03-19,2026  12:00:00 AM-03-23,2026  12:00:00 AM-03-19,2026  12:00:00 AM-03-23,5,5,5,6,6,1975,1,0,0,0,2,0,2,,,,Quote - Closed,false,15933.35
29379,29379,John Crist,"March 27 - 30, 2026",Q-JOHN-CRIST-29379,Declined,Short Term,2026  12:00:00 AM-03-27,2026  12:00:00 AM-03-30,2026  12:00:00 AM-03-27,2026  12:00:00 AM-03-30,4,4,4,5,5,1335,1,0,0,0,0,0,1,,,,Quote - Closed,false,11173.35
30368,30368,Lady A,"March 17 - 21, 2026",Q-LADY-A-30368,Declined,Short Term,2026  12:00:00 AM-03-17,2026  12:00:00 AM-03-21,2026  12:00:00 AM-03-17,2026  12:00:00 AM-03-21,5,5,13,13,13,3525,4,4,4,4,0,0,0,,,,Quote - Closed,false,119033.4
