external_id,vehicle_name,vehicle_index,item_type,quantity,rate,unit_type,billing_category
29319,Bills RV,0,"Coach Rate, Monthly",8,26000,Per Month,Contracted
29319,Bills RV,0,"Driver Rate, Daily",0,400,Per Day,Contracted
29319,Bills RV,0,"Satellite Service, Monthly",8,500,Per Month,Contracted
29319,Bills RV,0,"Internet Service, Monthly",8,1000,Per Month,Contracted
29319,Bills RV,0,"Insurance, Monthly",8,850,Per Month,Contracted
29319,Bills RV,0,"IFTA/DOT Fee, Monthly",8,500,Per Month,Contracted
29319,Bills RV,0,Fuel Estimate,0,0,Per Mile,Contracted
29319,Bills RV,0,Engine Services,0,0.75,Per Mile,Contracted
29319,Bills RV,0,Admin Fee,1,0,Flat Rate,Contracted
29319,Bills RV,0,Miscellaneous,1,0,Flat Rate,Contracted
29327,All In,0,"Coach Rate, Monthly",3.23,25000,Per Month,Contracted
29327,All In,0,"Driver Rate, Daily",0,0,Per Day,Contracted
29327,All In,0,"Satellite Service, Monthly",3.23,0,Per Month,Contracted
29327,All In,0,"Internet Service, Monthly",3.23,1000,Per Month,Contracted
29327,All In,0,"Insurance, Monthly",3.23,850,Per Month,Contracted
29327,All In,0,"IFTA/DOT Fee, Monthly",3.23,500,Per Month,Contracted
29327,All In,0,Fuel Estimate,0,0,Per Mile,Contracted
29327,All In,0,Engine Services,0,0.65,Per Mile,Contracted
29327,All In,0,Admin Fee,1,0,Flat Rate,Contracted
29327,All In,0,Miscellaneous,1,0,Flat Rate,Contracted
29327,Conniption,1,"Coach Rate, Monthly",3.23,25000,Per Month,Contracted
29327,Conniption,1,"Driver Rate, Daily",0,0,Per Day,Contracted
29327,Conniption,1,"Satellite Service, Monthly",3.23,0,Per Month,Contracted
29327,Conniption,1,"Internet Service, Monthly",3.23,1000,Per Month,Contracted
29327,Conniption,1,"Insurance, Monthly",3.23,850,Per Month,Contracted
29327,Conniption,1,"IFTA/DOT Fee, Monthly",3.23,500,Per Month,Contracted
29327,Conniption,1,Fuel Estimate,0,0,Per Mile,Contracted
29327,Conniption,1,Engine Services,0,0.65,Per Mile,Contracted
29327,Conniption,1,Admin Fee,1,0,Flat Rate,Contracted
29327,Conniption,1,Miscellaneous,1,0,Flat Rate,Contracted
29335,Scarlet,0,"Coach Rate, Monthly",6,25000,Per Month,Contracted
29335,Scarlet,0,"Driver Rate, Daily",0,0,Per Day,Contracted
29335,Scarlet,0,"Satellite Service, Monthly",6,350,Per Month,Contracted
29335,Scarlet,0,"Internet Service, Monthly",6,500,Per Month,Contracted
29335,Scarlet,0,"Insurance, Monthly",6,850,Per Month,Contracted
29335,Scarlet,0,"IFTA/DOT Fee, Monthly",6,500,Per Month,Contracted
29335,Scarlet,0,Fuel Estimate,0,0,Per Mile,Contracted
29335,Scarlet,0,Engine Services,0,0.5,Per Mile,Contracted
29335,Scarlet,0,Admin Fee,1,0,Flat Rate,Contracted
29335,Scarlet,0,Miscellaneous,1,0,Flat Rate,Contracted
29335,Summit,1,"Coach Rate, Monthly",6,25000,Per Month,Contracted
29335,Summit,1,"Driver Rate, Daily",0,0,Per Day,Contracted
29335,Summit,1,"Satellite Service, Monthly",6,350,Per Month,Contracted
29335,Summit,1,"Internet Service, Monthly",6,500,Per Month,Contracted
29335,Summit,1,"Insurance, Monthly",6,850,Per Month,Contracted
29335,Summit,1,"IFTA/DOT Fee, Monthly",6,500,Per Month,Contracted
29335,Summit,1,Fuel Estimate,0,0,Per Mile,Contracted
29335,Summit,1,Engine Services,0,0.5,Per Mile,Contracted
29335,Summit,1,Admin Fee,1,0,Flat Rate,Contracted
29335,Summit,1,Miscellaneous,1,0,Flat Rate,Contracted
29341,Phantom,0,"Coach Rate, Daily",37,600,Per Day,Contracted
29341,Phantom,0,"Driver Rate, Daily",37,400,Per Day,Contracted
29341,Phantom,0,"Satellite Service, Daily",37,35,Per Day,Contracted
29341,Phantom,0,"Internet Service, Daily",37,50,Per Day,Contracted
29341,Phantom,0,"Insurance, Daily",37,50,Per Day,Contracted
29341,Phantom,0,"IFTA/DOT Fee, Daily",37,50,Per Day,Contracted
