external_id,vehicle_name,vehicle_index,use_custom_tour_data,custom_tour_start_date,custom_tour_end_date,custom_total_estimated_miles,custom_tour_days,custom_billed_bus_days,custom_main_driver_days
29319,Bills RV,0,false,,,,,,
29327,All In,0,false,,,,,,
29327,Conniption,1,false,,,,,,
29335,Scarlet,0,false,,,,,,
29335,Summit,1,false,,,,,,
29341,Phantom,0,false,,,,,,
29341,Vortex,1,false,,,,,,
29380,Telluride,0,false,,,,,,
29381,Telluride,0,false,,,,,,
29382,Telluride,0,false,,,,,,
29384,Anonymous,0,false,,,,,,
29384,Aspen,1,false,,,,,,
29384,Gypsy,2,false,,,,,,
29384,Havana,3,false,,,,,,
29384,Hickory,4,false,,,,,,
29384,Liberty,5,false,,,,,,
29384,Temptation,6,false,,,,,,
29384,Velocity,7,false,,,,,,
30380,Havana,0,false,,,,,,
30384,Conspiracy,1,false,,,,,,
30389,Adrenaline,0,false,,,,,,
30389,Anonymous,1,false,,,,,,
30389,Attitude,2,false,,,,,,
30392,Anonymous,0,false,,,,,,
30392,Havana,3,false,,,,,,
30407,Patriot,0,false,,,,,,
30407,Scarlet,1,false,,,,,,
30419,Adrenaline,0,false,,,,,,
30419,Sapphire,1,false,,,,,,
30422,Aspen,0,false,,,,,,
30422,Cayman,1,false,,,,,,
30422,Copperhead,2,false,,,,,,
30422,Havana,3,false,,,,,,
30422,Hickory,4,false,,,,,,
30422,Summit,5,false,,,,,,
30432,Apex,0,false,,,,,,
30436,Snowman,0,false,,,,,,
30452,Conniption,0,false,,,,,,
30461,Aspen,0,false,,,,,,
30461,Havana,1,false,,,,,,
30461,Hickory,2,false,,,,,,
30461,Summit,3,false,,,,,,
30462,Legacy,0,false,,,,,,
30468,Attitude,0,false,,,,,,
30482,Adrenaline,0,false,,,,,,
