external_id,seq_number,artist_name,quote_name,quote_number,status,type,quoted_lease_start_date,quoted_lease_end_date,tour_start_date,tour_end_date,quoted_lease_days,tour_days,billed_bus_days,main_driver_days,billed_driver_days,total_estimated_miles,driver_deadhead_front_days,driver_deadhead_rear_days,bus_deadhead_front_days,bus_deadhead_rear_days,co_driver_days,discount_days,main_driver_overdrives,quoted_lease_months,tour_months,notes,_startracker_status,_is_contract,_startracker_total
29319,29319,Tucker Wetmore,"January 1 - December 31, 2026",Q-TUCKER-WETMORE-29319,Approved,Long Term,2026  12:00:00 AM-05-01,2026  12:00:00 AM-12-31,2026  12:00:00 AM-05-01,2026  12:00:00 AM-12-31,245,245,0,0,0,0,0,0,0,0,0,0,0,8,8,120k/yr salary for Joe and Darius quoted.  Client trailer on Encore,Contract - Signed,true,230800
29327,29327,Jordan Davis,"April 1 - December 31, 2026",Q-JORDAN-DAVIS-29327,Approved,Long Term,2026  12:00:00 AM-05-25,2026  12:00:00 AM-08-31,2026  12:00:00 AM-05-25,2026  12:00:00 AM-08-31,99,99,0,0,0,0,0,0,0,0,0,0,0,3.23,3.23,Keith Heyward on annual salary,Contract - Verbal,true,176681
29335,29335,Brothers Osborne,"May 1 - Oct 31, 2026",Q-BROTHERS-OSBORNE-29335,Declined,Long Term,2026  12:00:00 AM-05-01,2026  12:00:00 AM-10-31,2026  12:00:00 AM-05-01,2026  12:00:00 AM-10-31,184,184,0,0,0,0,0,0,0,0,0,0,0,6,6,,Quote - Closed,false,327600
29341,29341,The Warning,"May 14 - June 14, 2026",Q-THE-WARNING-29341,Draft,Short Term,2026  12:00:00 AM-05-14,2026  12:00:00 AM-06-14,2026  12:00:00 AM-05-14,2026  12:00:00 AM-06-14,32,32,37,37,37,10950,5,0,5,0,0,0,6,,,,Quote - Active,false,163524.6
29380,29380,John Crist,"May 1 - 4, 2026",Q-JOHN-CRIST-29380,Declined,Short Term,2026  12:00:00 AM-05-01,2026  12:00:00 AM-05-04,2026  12:00:00 AM-05-01,2026  12:00:00 AM-05-04,4,4,4,4,4,2030,0,0,0,0,4,0,2,,,,Quote - Closed,false,14985.1
29381,29381,John Crist,"May 13 - 17, 2026",Q-JOHN-CRIST-29381,Declined,Short Term,2026  12:00:00 AM-05-13,2026  12:00:00 AM-05-17,2026  12:00:00 AM-05-13,2026  12:00:00 AM-05-17,5,5,5,5,5,1775,0,0,0,0,1,0,2,,,,Quote - Closed,false,14485.35
29382,29382,John Crist,"May 28 - June 1, 2026",Q-JOHN-CRIST-29382,Draft,Short Term,2026  12:00:00 AM-05-28,2026  12:00:00 AM-06-01,2026  12:00:00 AM-05-28,2026  12:00:00 AM-06-01,5,5,5,5,5,1690,0,0,0,0,1,0,3,,,,Quote - Active,false,14847.1
30380,30380,The Fray,"May 11 - 26, 2026",Q-THE-FRAY-30380,Draft,Short Term,2026  12:00:00 AM-05-11,2026  12:00:00 AM-05-26,2026  12:00:00 AM-05-11,2026  12:00:00 AM-05-26,16,16,25,25,25,8850,4,5,4,5,0,0,1,,,,Quote - Active,false,62366.4
30384,30384,Mac Demarco,"May 1 - 23, 2026",Q-MAC-DEMARCO-30384,Declined,Short Term,2026  12:00:00 AM-05-01,2026  12:00:00 AM-05-23,2026  12:00:00 AM-05-01,2026  12:00:00 AM-05-23,23,23,32,0,0,10650,4,5,4,5,0,0,0,,,,Quote - Closed,false,84092.2
30389,30389,LCD Soundsystem,"May 20 - 24, 2026",Q-LCD-SOUNDSYSTEM-30389,Declined,Short Term,2026  12:00:00 AM-05-20,2026  12:00:00 AM-05-24,2026  12:00:00 AM-05-20,2026  12:00:00 AM-05-24,5,5,15,15,15,4950,5,5,5,5,0,0,0,,,,Quote - Closed,false,106576.79999999999
30392,30392,Young The Giant,"May 27 - June 27, 2026",Q-YOUNG-THE-GIANT-30392,Draft,Short Term,2026  12:00:00 AM-05-27,2026  12:00:00 AM-06-27,2026  12:00:00 AM-05-27,2026  12:00:00 AM-06-27,32,32,34,34,34,7680,2,0,2,0,0,0,3,,,band bus - no older than 2021   2 crew - no older than 2018,Quote - Active,false,167735.2
30407,30407,Yellowcard,"May 5 - June 20, 2026",Q-YELLOWCARD-30407,Draft,Short Term,2026  12:00:00 AM-05-05,2026  12:00:00 AM-06-20,2026  12:00:00 AM-05-05,2026  12:00:00 AM-06-20,47,47,49,49,49,14610,0,2,0,2,6,0,9,,,Needs band bus with shower,Quote - Active,false,225978.4
30419,30419,Stone Temple Pilots,"May 10 - 30, 2026",Q-STONE-TEMPLE-PILOTS-30419,Draft,Short Term,2026  12:00:00 AM-05-10,2026  12:00:00 AM-05-30,2026  12:00:00 AM-05-10,2026  12:00:00 AM-05-30,21,21,25,25,25,4810,2,2,2,2,0,0,0,,,,Quote - Active,false,102815.2
30422,30422,Post Malone,"May 13 - July 28, 2026",Q-POST-MALONE-30422,Draft,Short Term,2026  12:00:00 AM-05-13,2026  12:00:00 AM-07-28,2026  12:00:00 AM-05-13,2026  12:00:00 AM-07-28,77,77,84,84,84,0,3,4,3,4,0,0,0,,,"On hold for Post Malone - AutoBus  6 crew pickup el paso 5/13, drop SLC 7/28",Quote - Active,false,968443.2
30432,30432,Underworld,"May 15 - 16, 2026",Q-UNDERWORLD-30432,Draft,Short Term,2026  12:00:00 AM-05-15,2026  12:00:00 AM-05-16,2026  12:00:00 AM-05-15,2026  12:00:00 AM-05-16,2,2,11,11,11,4745,4,5,4,5,0,0,1,,,,Quote - Active,false,31372.85
30436,30436,Daniel Donato,"May 21 - 24, 2026",Q-DANIEL-DONATO-30436,Declined,Short Term,2026  12:00:00 AM-05-21,2026  12:00:00 AM-05-24,2026  12:00:00 AM-05-21,2026  12:00:00 AM-05-24,4,4,4,4,4,1720,0,0,0,0,2,0,1,,,,Quote - Closed,false,9429.6
30452,30452,CAIN,"May 1 - 3, 2026",Q-CAIN-30452,Draft,Short Term,2026  12:00:00 AM-05-01,2026  12:00:00 AM-05-03,2026  12:00:00 AM-05-01,2026  12:00:00 AM-05-03,3,3,3,3,3,1309,0,0,0,0,2,0,2,,,,Quote - Active,false,11152.6
30461,30461,Kesha,"May 23 - June 14, 2026 Crew",Q-KESHA-30461,Draft,Short Term,2026  12:00:00 AM-05-23,2026  12:00:00 AM-06-14,2026  12:00:00 AM-05-23,2026  12:00:00 AM-06-14,23,23,29,29,29,8450,5,1,5,1,0,0,5,,,,Quote - Active,false,269740.4
